"","SurveyID","SurveyDate","Species","RunYear","LiveTotal","DeadTotal","StreamName"
"89",274766,"11/03/2010","Chum Salmon",2010,68,5,"Sky Slough A"
"90",274768,"11/17/2010","Chum Salmon",2010,119,8,"Sky Slough A"
"91",274768,"11/17/2010","Coho Salmon",2010,2,0,"Sky Slough A"
"92",274769,"12/01/2010","Chum Salmon",2010,6,53,"Sky Slough A"
"93",274769,"12/01/2010","Coho Salmon",2010,0,1,"Sky Slough A"
"94",274770,"12/07/2010","Chum Salmon",2010,2,28,"Sky Slough A"
"95",274771,"12/20/2010","Chum Salmon",2010,0,0,"Sky Slough A"
"96",274771,"12/20/2010","Coho Salmon",2010,1,0,"Sky Slough A"
"97",274772,"01/06/2010","Chum Salmon",2010,0,1,"Sky Slough A"
"98",274772,"01/06/2010","Coho Salmon",2009,2,0,"Sky Slough A"
"99",274782,"10/26/2010","Chum Salmon",2010,0,0,"Sky Slough B"
"100",274783,"11/03/2010","Chum Salmon",2010,4,0,"Sky Slough B"
"101",274784,"11/10/2010","Chum Salmon",2010,0,0,"Sky Slough B"
"102",274785,"11/17/2010","Chum Salmon",2010,10,0,"Sky Slough B"
"103",274785,"11/17/2010","Coho Salmon",2010,7,0,"Sky Slough B"
"104",274786,"12/01/2010","Chum Salmon",2010,12,20,"Sky Slough B"
"105",274787,"12/07/2010","Chum Salmon",2010,0,0,"Sky Slough B"
"106",274788,"12/20/2010","Chum Salmon",2010,1,3,"Sky Slough B"
"107",274788,"12/20/2010","Coho Salmon",2010,NA,NA,"Sky Slough B"
"108",274789,"01/06/2010","Chum Salmon",2009,0,0,"Sky Slough B"
"109",274790,"10/26/2010","Chum Salmon",2010,0,0,"Sky Slough C"
"110",274791,"11/03/2010","Chum Salmon",2010,4,0,"Sky Slough C"
"111",274792,"11/10/2010","Chum Salmon",2010,0,0,"Sky Slough C"
"112",274793,"11/17/2010","Chum Salmon",2010,3,0,"Sky Slough C"
"113",274793,"11/17/2010","Coho Salmon",2010,1,0,"Sky Slough C"
"114",274794,"12/01/2010","Chum Salmon",2010,0,0,"Sky Slough C"
"115",274795,"12/07/2010","Chum Salmon",2010,0,14,"Sky Slough C"
"116",274796,"12/20/2010","Chum Salmon",2010,0,0,"Sky Slough C"
"117",274797,"01/06/2010","Chum Salmon",2009,0,0,"Sky Slough C"
"118",274798,"10/26/2010","Chum Salmon",2010,0,0,"Sky Slough D"
"119",274799,"11/03/2010","Chum Salmon",2010,0,0,"Sky Slough D"
"120",274800,"11/10/2010","Chum Salmon",2010,0,0,"Sky Slough D"
"121",274801,"12/01/2010","Chum Salmon",2010,0,0,"Sky Slough D"
"122",274802,"12/07/2010","Chum Salmon",2010,0,0,"Sky Slough D"
"123",274803,"12/20/2010","Chum Salmon",2010,0,0,"Sky Slough D"
"124",274804,"01/06/2010","Chum Salmon",2009,0,0,"Sky Slough D"
"125",278438,"11/23/2009","Chum Salmon",2009,266,45,"Sky Slough A"
"126",278409,"11/12/2009","Chum Salmon",2009,415,184,"Sky Slough (LB)"
"127",278409,"11/12/2009","Coho Salmon",2009,3,2,"Sky Slough (LB)"
"128",278411,"12/02/2009","Chum Salmon",2009,593,169,"Sky Slough (LB)"
"129",278411,"12/02/2009","Coho Salmon",2009,6,2,"Sky Slough (LB)"
"130",278412,"12/17/2009","Chum Salmon",2009,12,284,"Sky Slough (LB)"
"131",278412,"12/17/2009","Coho Salmon",2009,0,0,"Sky Slough (LB)"
"132",278413,"12/28/2009","Chum Salmon",2009,10,32,"Sky Slough (LB)"
"133",278413,"12/28/2009","Coho Salmon",2009,5,3,"Sky Slough (LB)"
"134",278414,"01/08/2010","Chum Salmon",2009,0,1,"Sky Slough (LB)"
"135",278414,"01/08/2010","Coho Salmon",2009,1,0,"Sky Slough (LB)"
"136",278432,"10/30/2009","Chum Salmon",2009,0,0,"Sky Slough A"
"137",278440,"12/02/2009","Chum Salmon",2009,113,107,"Sky Slough A"
"138",278443,"12/28/2009","Chum Salmon",2009,0,12,"Sky Slough A"
"139",278443,"12/28/2009","Coho Salmon",2009,1,4,"Sky Slough A"
"140",278445,"01/08/2010","Chum Salmon",2009,0,0,"Sky Slough A"
"141",278445,"01/08/2010","Coho Salmon",2009,0,2,"Sky Slough A"
"142",278447,"10/30/2009","Chum Salmon",2009,0,0,"Sky Slough B"
"143",278448,"11/23/2009","Chum Salmon",2009,66,5,"Sky Slough B"
"144",278450,"12/02/2009","Chum Salmon",2009,64,25,"Sky Slough B"
"145",278453,"12/28/2009","Chum Salmon",2009,0,2,"Sky Slough B"
"146",278453,"12/28/2009","Coho Salmon",2009,1,3,"Sky Slough B"
"147",278454,"01/08/2010","Chum Salmon",2009,0,0,"Sky Slough B"
"148",278454,"01/08/2010","Coho Salmon",2009,2,0,"Sky Slough B"
"149",278455,"10/30/2009","Chum Salmon",2009,0,0,"Sky Slough C"
"150",278458,"11/23/2009","Chum Salmon",2009,45,7,"Sky Slough C"
"151",278461,"12/02/2009","Chum Salmon",2009,31,79,"Sky Slough C"
"152",278463,"12/28/2009","Chum Salmon",2009,0,2,"Sky Slough C"
"153",278465,"01/08/2010","Chum Salmon",2009,0,2,"Sky Slough C"
"154",278467,"10/30/2009","Chum Salmon",2009,0,0,"Sky Slough D"
"155",278469,"11/23/2009","Chum Salmon",2009,0,0,"Sky Slough D"
"156",278471,"12/02/2009","Chum Salmon",2009,0,0,"Sky Slough D"
"157",278471,"12/02/2009","Coho Salmon",2009,2,0,"Sky Slough D"
"158",278472,"12/28/2009","Chum Salmon",2009,0,0,"Sky Slough D"
"159",278474,"01/08/2010","Chum Salmon",2009,0,0,"Sky Slough D"
"160",280483,"10/03/2008","Chum Salmon",2008,0,0,"Sky Slough (LB)"
"161",280484,"10/10/2008","Chum Salmon",2008,13,0,"Sky Slough (LB)"
"162",280484,"10/10/2008","Coho Salmon",2008,1,0,"Sky Slough (LB)"
"163",280485,"10/17/2008","Chum Salmon",2008,20,1,"Sky Slough (LB)"
"164",280485,"10/17/2008","Coho Salmon",2008,0,0,"Sky Slough (LB)"
"165",280486,"10/23/2008","Chum Salmon",2008,27,3,"Sky Slough (LB)"
"166",280486,"10/23/2008","Coho Salmon",2008,4,0,"Sky Slough (LB)"
"167",280487,"11/01/2008","Chum Salmon",2008,36,7,"Sky Slough (LB)"
"168",280487,"11/01/2008","Coho Salmon",2008,3,0,"Sky Slough (LB)"
"169",280488,"11/10/2008","Chum Salmon",2008,24,2,"Sky Slough (LB)"
"170",280488,"11/10/2008","Coho Salmon",2008,6,0,"Sky Slough (LB)"
"171",280489,"11/17/2008","Chum Salmon",2008,456,32,"Sky Slough (LB)"
"172",280489,"11/17/2008","Coho Salmon",2008,2,0,"Sky Slough (LB)"
"173",280490,"11/26/2008","Chum Salmon",2008,226,239,"Sky Slough (LB)"
"174",280490,"11/26/2008","Coho Salmon",2008,1,0,"Sky Slough (LB)"
"175",280491,"12/03/2008","Chum Salmon",2008,114,176,"Sky Slough (LB)"
"176",280491,"12/03/2008","Coho Salmon",2008,0,0,"Sky Slough (LB)"
"177",280492,"12/10/2008","Chum Salmon",2008,62,181,"Sky Slough (LB)"
"178",280492,"12/10/2008","Coho Salmon",2008,0,0,"Sky Slough (LB)"
"179",280493,"12/20/2008","Chum Salmon",2008,17,125,"Sky Slough (LB)"
"180",280493,"12/20/2008","Coho Salmon",2008,0,0,"Sky Slough (LB)"
"181",280494,"12/28/2008","Chum Salmon",2008,0,128,"Sky Slough (LB)"
"182",280494,"12/28/2008","Coho Salmon",2008,0,0,"Sky Slough (LB)"
"183",280495,"01/04/2009","Chum Salmon",2008,0,4,"Sky Slough (LB)"
"184",280495,"01/04/2009","Coho Salmon",2008,0,0,"Sky Slough (LB)"
"185",280495,"01/04/2009","Coho Salmon",2008,0,0,"Sky Slough (LB)"
"186",280496,"01/11/2009","Chum Salmon",2008,3,7,"Sky Slough (LB)"
"187",280496,"01/11/2009","Coho Salmon",2008,0,0,"Sky Slough (LB)"
"188",280497,"10/03/2008","Chum Salmon",2008,0,0,"Sky Slough A"
"189",280497,"10/03/2008","Coho Salmon",2008,0,0,"Sky Slough A"
"190",280498,"10/10/2008","Chum Salmon",2008,0,0,"Sky Slough A"
"191",280498,"10/10/2008","Coho Salmon",2008,0,0,"Sky Slough A"
"192",280499,"10/17/2008","Chum Salmon",2008,0,0,"Sky Slough A"
"193",280499,"10/17/2008","Coho Salmon",2008,0,0,"Sky Slough A"
"194",280500,"10/23/2008","Chum Salmon",2008,0,0,"Sky Slough A"
"195",280500,"10/23/2008","Coho Salmon",2008,3,0,"Sky Slough A"
"196",280501,"11/01/2008","Chum Salmon",2008,0,0,"Sky Slough A"
"197",280501,"11/01/2008","Coho Salmon",2008,4,0,"Sky Slough A"
"198",280502,"11/10/2008","Chum Salmon",2008,28,0,"Sky Slough A"
"199",280502,"11/10/2008","Coho Salmon",2008,6,0,"Sky Slough A"
"200",280503,"11/17/2008","Chum Salmon",2008,145,2,"Sky Slough A"
"201",280503,"11/17/2008","Coho Salmon",2008,2,0,"Sky Slough A"
"202",280504,"11/26/2008","Chum Salmon",2008,117,202,"Sky Slough A"
"203",280504,"11/26/2008","Coho Salmon",2008,5,1,"Sky Slough A"
"204",280505,"12/03/2008","Chum Salmon",2008,63,233,"Sky Slough A"
"205",280505,"12/03/2008","Coho Salmon",2008,0,0,"Sky Slough A"
"206",280506,"12/10/2008","Chum Salmon",2008,38,263,"Sky Slough A"
"207",280506,"12/10/2008","Coho Salmon",2008,0,0,"Sky Slough A"
"208",280507,"12/20/2008","Chum Salmon",2008,21,118,"Sky Slough A"
"209",280507,"12/20/2008","Coho Salmon",2008,0,0,"Sky Slough A"
"210",280508,"12/28/2008","Chum Salmon",2008,10,54,"Sky Slough A"
"211",280508,"12/28/2008","Coho Salmon",2008,0,0,"Sky Slough A"
"212",280509,"01/04/2009","Chum Salmon",2008,0,9,"Sky Slough A"
"213",280509,"01/04/2009","Coho Salmon",2008,0,0,"Sky Slough A"
"214",280510,"01/11/2009","Chum Salmon",2008,2,8,"Sky Slough A"
"215",280510,"01/11/2009","Coho Salmon",2008,4,0,"Sky Slough A"
"216",280511,"10/03/2008","Chum Salmon",2008,0,0,"Sky Slough B"
"217",280511,"10/03/2008","Coho Salmon",2008,0,0,"Sky Slough B"
"218",280512,"10/10/2008","Chum Salmon",2008,0,0,"Sky Slough B"
"219",280512,"10/10/2008","Coho Salmon",2008,0,0,"Sky Slough B"
"220",280513,"10/17/2008","Chum Salmon",2008,0,0,"Sky Slough B"
"221",280513,"10/17/2008","Coho Salmon",2008,0,0,"Sky Slough B"
"222",280513,"10/17/2008","Coho Salmon",2008,2,0,"Sky Slough B"
"223",280514,"10/23/2008","Chum Salmon",2008,0,0,"Sky Slough B"
"224",280515,"11/01/2008","Chum Salmon",2008,0,0,"Sky Slough B"
"225",280515,"11/01/2008","Coho Salmon",2008,1,0,"Sky Slough B"
"226",280516,"11/10/2008","Chum Salmon",2008,7,0,"Sky Slough B"
"227",280516,"11/10/2008","Coho Salmon",2008,4,0,"Sky Slough B"
"228",280517,"11/17/2008","Chum Salmon",2008,75,2,"Sky Slough B"
"229",280517,"11/17/2008","Coho Salmon",2008,0,0,"Sky Slough B"
"230",280518,"11/26/2008","Chum Salmon",2008,98,201,"Sky Slough B"
"231",280518,"11/26/2008","Coho Salmon",2008,2,0,"Sky Slough B"
"232",280519,"12/03/2008","Chum Salmon",2008,37,119,"Sky Slough B"
"233",280519,"12/03/2008","Coho Salmon",2008,0,0,"Sky Slough B"
"234",280520,"12/10/2008","Chum Salmon",2008,11,86,"Sky Slough B"
"235",280520,"12/10/2008","Coho Salmon",2008,0,0,"Sky Slough B"
"236",280521,"12/20/2008","Chum Salmon",2008,0,41,"Sky Slough B"
"237",280521,"12/20/2008","Coho Salmon",2008,0,0,"Sky Slough B"
"238",280522,"12/28/2008","Chum Salmon",2008,9,17,"Sky Slough B"
"239",280522,"12/28/2008","Coho Salmon",2008,2,0,"Sky Slough B"
"240",280523,"01/04/2009","Chum Salmon",2008,0,3,"Sky Slough B"
"241",280523,"01/04/2009","Coho Salmon",2008,0,0,"Sky Slough B"
"242",280524,"01/11/2009","Chum Salmon",2008,1,2,"Sky Slough B"
"243",280524,"01/11/2009","Coho Salmon",2008,1,0,"Sky Slough B"
"244",280525,"10/03/2008","Chum Salmon",2008,0,0,"Sky Slough C"
"245",280525,"10/03/2008","Coho Salmon",2008,0,0,"Sky Slough C"
"246",280526,"10/10/2008","Chum Salmon",2008,0,0,"Sky Slough C"
"247",280526,"10/10/2008","Coho Salmon",2008,0,0,"Sky Slough C"
"248",280527,"10/17/2008","Chum Salmon",2008,0,0,"Sky Slough C"
"249",280527,"10/17/2008","Coho Salmon",2008,0,0,"Sky Slough C"
"250",280528,"10/23/2008","Chum Salmon",2008,0,0,"Sky Slough C"
"251",280528,"10/23/2008","Coho Salmon",2008,1,0,"Sky Slough C"
"252",280529,"11/01/2008","Chum Salmon",2008,0,0,"Sky Slough C"
"253",280529,"11/01/2008","Coho Salmon",2008,0,0,"Sky Slough C"
"254",280530,"11/10/2008","Chum Salmon",2008,0,0,"Sky Slough C"
"255",280530,"11/10/2008","Coho Salmon",2008,2,0,"Sky Slough C"
"256",280531,"11/17/2008","Chum Salmon",2008,25,20,"Sky Slough C"
"257",280531,"11/17/2008","Coho Salmon",2008,0,0,"Sky Slough C"
"258",280532,"11/26/2008","Chum Salmon",2008,16,68,"Sky Slough C"
"259",280532,"11/26/2008","Coho Salmon",2008,0,0,"Sky Slough C"
"260",280533,"12/03/2008","Chum Salmon",2008,11,55,"Sky Slough C"
"261",280533,"12/03/2008","Coho Salmon",2008,0,0,"Sky Slough C"
"262",280534,"12/10/2008","Chum Salmon",2008,2,6,"Sky Slough C"
"263",280534,"12/10/2008","Coho Salmon",2008,0,0,"Sky Slough C"
"264",280535,"12/20/2008","Chum Salmon",2008,0,3,"Sky Slough C"
"265",280535,"12/20/2008","Coho Salmon",2008,0,0,"Sky Slough C"
"266",280536,"12/28/2008","Chum Salmon",2008,0,0,"Sky Slough C"
"267",280536,"12/28/2008","Coho Salmon",2008,0,0,"Sky Slough C"
"268",280537,"01/04/2009","Chum Salmon",2008,0,0,"Sky Slough C"
"269",280537,"01/04/2009","Coho Salmon",2008,0,0,"Sky Slough C"
"270",280538,"01/11/2009","Chum Salmon",2008,0,0,"Sky Slough C"
"271",280539,"11/10/2008","Chum Salmon",2008,0,0,"Sky Slough D"
"272",280539,"11/10/2008","Coho Salmon",2008,0,0,"Sky Slough D"
"273",280540,"11/17/2008","Chum Salmon",2008,0,0,"Sky Slough D"
"274",280540,"11/17/2008","Coho Salmon",2008,0,0,"Sky Slough D"
"275",280541,"11/26/2008","Chum Salmon",2008,0,0,"Sky Slough D"
"276",280541,"11/26/2008","Coho Salmon",2008,0,0,"Sky Slough D"
"277",280542,"12/03/2008","Chum Salmon",2008,0,0,"Sky Slough D"
"278",280542,"12/03/2008","Coho Salmon",2008,0,0,"Sky Slough D"
"279",280543,"12/10/2008","Chum Salmon",2008,0,0,"Sky Slough D"
"280",280543,"12/10/2008","Coho Salmon",2008,0,0,"Sky Slough D"
"281",280544,"12/20/2008","Chum Salmon",2008,0,0,"Sky Slough D"
"282",280544,"12/20/2008","Coho Salmon",2008,0,0,"Sky Slough D"
"283",280545,"12/28/2008","Chum Salmon",2008,0,0,"Sky Slough D"
"284",280545,"12/28/2008","Coho Salmon",2008,0,0,"Sky Slough D"
"285",280546,"01/04/2009","Chum Salmon",2008,0,0,"Sky Slough D"
"286",280546,"01/04/2009","Coho Salmon",2008,0,0,"Sky Slough D"
"287",284101,"11/14/2007","Chum Salmon",2007,0,0,"Sky Slough C"
"288",284102,"11/21/2007","Chum Salmon",2007,0,0,"Sky Slough C"
"289",284070,"12/27/2007","Chum Salmon",2007,26,85,"Sky Slough (LB)"
"290",284100,"11/07/2007","Chum Salmon",2007,0,0,"Sky Slough C"
"291",284060,"11/01/2007","Chum Salmon",2007,0,0,"Sky Slough (LB)"
"292",284060,"11/01/2007","Coho Salmon",2007,0,NA,"Sky Slough (LB)"
"293",284061,"11/07/2007","Chum Salmon",2007,12,0,"Sky Slough (LB)"
"294",284061,"11/07/2007","Coho Salmon",2007,0,NA,"Sky Slough (LB)"
"295",284063,"11/14/2007","Chum Salmon",2007,85,3,"Sky Slough (LB)"
"296",284063,"11/14/2007","Coho Salmon",2007,7,NA,"Sky Slough (LB)"
"297",284064,"11/21/2007","Chum Salmon",2007,120,16,"Sky Slough (LB)"
"298",284064,"11/21/2007","Coho Salmon",2007,27,NA,"Sky Slough (LB)"
"299",284065,"11/28/2007","Chum Salmon",2007,258,362,"Sky Slough (LB)"
"300",284065,"11/28/2007","Coho Salmon",2007,14,NA,"Sky Slough (LB)"
"301",284066,"12/07/2007","Chum Salmon",2007,76,14,"Sky Slough (LB)"
"302",284066,"12/07/2007","Coho Salmon",2007,30,NA,"Sky Slough (LB)"
"303",284068,"12/13/2007","Chum Salmon",2007,65,28,"Sky Slough (LB)"
"304",284068,"12/13/2007","Coho Salmon",2007,13,NA,"Sky Slough (LB)"
"305",284069,"12/20/2007","Chum Salmon",2007,39,71,"Sky Slough (LB)"
"306",284069,"12/20/2007","Coho Salmon",2007,7,NA,"Sky Slough (LB)"
"307",284070,"12/27/2007","Coho Salmon",2007,5,NA,"Sky Slough (LB)"
"308",284071,"01/04/2008","Chum Salmon",2007,3,114,"Sky Slough (LB)"
"309",284071,"01/04/2008","Coho Salmon",2007,1,NA,"Sky Slough (LB)"
"310",284072,"11/01/2007","Chum Salmon",2007,0,0,"Sky Slough A"
"311",284073,"11/07/2007","Chum Salmon",2007,0,0,"Sky Slough A"
"312",284075,"11/14/2007","Chum Salmon",2007,0,0,"Sky Slough A"
"313",284076,"11/21/2007","Chum Salmon",2007,0,0,"Sky Slough A"
"314",284077,"11/28/2007","Chum Salmon",2007,89,117,"Sky Slough A"
"315",284078,"12/07/2007","Chum Salmon",2007,98,124,"Sky Slough A"
"316",284080,"12/13/2007","Chum Salmon",2007,73,111,"Sky Slough A"
"317",284081,"12/20/2007","Chum Salmon",2007,23,105,"Sky Slough A"
"318",284082,"12/27/2007","Chum Salmon",2007,11,94,"Sky Slough A"
"319",284083,"01/04/2008","Chum Salmon",2007,2,87,"Sky Slough A"
"320",284085,"11/01/2007","Chum Salmon",2007,0,0,"Sky Slough B"
"321",284087,"11/07/2007","Chum Salmon",2007,0,0,"Sky Slough B"
"322",284089,"11/14/2007","Chum Salmon",2007,0,0,"Sky Slough B"
"323",284091,"11/21/2007","Chum Salmon",2007,0,0,"Sky Slough B"
"324",284092,"11/28/2007","Chum Salmon",2007,76,99,"Sky Slough B"
"325",284093,"12/07/2007","Chum Salmon",2007,82,113,"Sky Slough B"
"326",284094,"12/13/2007","Chum Salmon",2007,62,88,"Sky Slough B"
"327",284095,"12/20/2007","Chum Salmon",2007,19,81,"Sky Slough B"
"328",284096,"12/27/2007","Chum Salmon",2007,6,72,"Sky Slough B"
"329",284097,"01/04/2007","Chum Salmon",2007,0,51,"Sky Slough B"
"330",284099,"11/01/2007","Chum Salmon",2007,0,0,"Sky Slough C"
"331",284103,"11/28/2007","Chum Salmon",2007,NA,NA,"Sky Slough C"
"332",284104,"12/03/2007","Chum Salmon",2007,0,0,"Sky Slough C"
"333",284105,"12/07/2007","Chum Salmon",2007,0,0,"Sky Slough C"
"334",284106,"12/13/2007","Chum Salmon",2007,0,0,"Sky Slough C"
"335",284107,"12/20/2007","Chum Salmon",2007,0,0,"Sky Slough C"
"336",284108,"12/27/2007","Chum Salmon",2007,0,0,"Sky Slough C"
"337",284109,"01/04/2008","Chum Salmon",2007,0,0,"Sky Slough C"
"338",284117,"10/23/2007","Coho Salmon",2007,0,NA,"Sky Slough (LB)"
"339",284119,"01/11/2008","Coho Salmon",2007,2,NA,"Sky Slough (LB)"
"340",284120,"01/19/2008","Coho Salmon",2007,3,NA,"Sky Slough (LB)"
"341",295363,"11/17/2011","Chum Salmon",2011,0,0,"Sky Slough B"
"342",295359,"11/17/2011","Chum Salmon",2011,236,23,"Sky Slough (LB)"
"343",295359,"11/17/2011","Coho Salmon",2011,0,0,"Sky Slough (LB)"
"344",295360,"10/31/2011","Chum Salmon",2011,0,0,"Sky Slough A"
"345",295360,"10/31/2011","Coho Salmon",2011,1,1,"Sky Slough A"
"346",295360,"10/31/2011","Pink Salmon",2011,28,128,"Sky Slough A"
"347",295361,"11/17/2011","Chum Salmon",2011,1,0,"Sky Slough A"
"348",295361,"11/17/2011","Pink Salmon",2011,0,38,"Sky Slough A"
